,time[frames],multi_alignedByIntensity_minMaxRescaled_intensity_mean,multi_alignedByIntensity_minMaxRescaled_intensity_std,multi_alignedByIntensity_minMaxRescaled_intensity_mean_normalized,multi_alignedByIntensity_minMaxRescaled_intensity_std_normalized,multi_alignedByIntensity_minMaxRescaled_distance_mean,multi_alignedByIntensity_minMaxRescaled_distance_std,multi_alignedByIntensity_minMaxRescaled_distance_mean_normalized,multi_alignedByIntensity_minMaxRescaled_distance_std_normalized
0,-155.5,,,,,,,,
1,-155.189,,,,,,,,
2,-154.878,,,,,,,,
3,-154.567,,,,,,,,
4,-154.256,,,,,,,,
5,-153.945,,,,,,,,
6,-153.634,,,,,,,,
7,-153.323,,,,,,,,
8,-153.012,,,,,,,,
9,-152.701,,,,,,,,
10,-152.39,,,,,,,,
11,-152.079,,,,,,,,
12,-151.768,,,,,,,,
13,-151.457,,,,,,,,
14,-151.146,,,,,,,,
15,-150.835,,,,,,,,
16,-150.524,,,,,,,,
17,-150.213,,,,,,,,
18,-149.902,,,,,,,,
19,-149.591,,,,,,,,
20,-149.28,,,,,,,,
21,-148.969,,,,,,,,
22,-148.658,,,,,,,,
23,-148.347,,,,,,,,
24,-148.036,,,,,,,,
25,-147.725,,,,,,,,
26,-147.414,,,,,,,,
27,-147.103,,,,,,,,
28,-146.792,,,,,,,,
29,-146.481,,,,,,,,
30,-146.17,,,,,,,,
31,-145.859,,,,,,,,
32,-145.548,,,,,,,,
33,-145.237,,,,,,,,
34,-144.926,,,,,,,,
35,-144.615,,,,,,,,
36,-144.304,,,,,,,,
37,-143.993,,,,,,,,
38,-143.682,,,,,,,,
39,-143.371,,,,,,,,
40,-143.06,,,,,,,,
41,-142.749,,,,,,,,
42,-142.438,,,,,,,,
43,-142.127,,,,,,,,
44,-141.816,,,,,,,,
45,-141.505,,,,,,,,
46,-141.194,,,,,,,,
47,-140.883,,,,,,,,
48,-140.572,,,,,,,,
49,-140.261,,,,,,,,
50,-139.95,,,,,,,,
51,-139.639,,,,,,,,
52,-139.328,,,,,,,,
53,-139.017,,,,,,,,
54,-138.706,,,,,,,,
55,-138.395,,,,,,,,
56,-138.084,,,,,,,,
57,-137.773,,,,,,,,
58,-137.462,,,,,,,,
59,-137.151,,,,,,,,
60,-136.84,,,,,,,,
61,-136.529,,,,,,,,
62,-136.218,,,,,,,,
63,-135.907,,,,,,,,
64,-135.596,,,,,,,,
65,-135.285,,,,,,,,
66,-134.974,,,,,,,,
67,-134.663,,,,,,,,
68,-134.352,,,,,,,,
69,-134.041,,,,,,,,
70,-133.73,,,,,,,,
71,-133.419,,,,,,,,
72,-133.108,,,,,,,,
73,-132.797,,,,,,,,
74,-132.486,,,,,,,,
75,-132.175,,,,,,,,
76,-131.864,,,,,,,,
77,-131.553,,,,,,,,
78,-131.242,,,,,,,,
79,-130.931,,,,,,,,
80,-130.62,,,,,,,,
81,-130.309,,,,,,,,
82,-129.998,,,,,,,,
83,-129.687,,,,,,,,
84,-129.376,,,,,,,,
85,-129.065,,,,,,,,
86,-128.754,,,,,,,,
87,-128.443,,,,,,,,
88,-128.132,,,,,,,,
89,-127.821,,,,,,,,
90,-127.51,,,,,,,,
91,-127.199,,,,,,,,
92,-126.888,,,,,,,,
93,-126.577,,,,,,,,
94,-126.266,,,,,,,,
95,-125.955,,,,,,,,
96,-125.644,,,,,,,,
97,-125.333,,,,,,,,
98,-125.022,,,,,,,,
99,-124.711,,,,,,,,
100,-124.4,,,,,,,,
101,-124.089,,,,,,,,
102,-123.778,,,,,,,,
103,-123.467,,,,,,,,
104,-123.156,,,,,,,,
105,-122.845,,,,,,,,
106,-122.534,,,,,,,,
107,-122.223,,,,,,,,
108,-121.912,,,,,,,,
109,-121.601,,,,,,,,
110,-121.29,,,,,,,,
111,-120.979,,,,,,,,
112,-120.668,,,,,,,,
113,-120.357,,,,,,,,
114,-120.046,,,,,,,,
115,-119.735,,,,,,,,
116,-119.424,,,,,,,,
117,-119.113,,,,,,,,
118,-118.80199999999999,,,,,,,,
119,-118.491,,,,,,,,
120,-118.17999999999999,,,,,,,,
121,-117.869,,,,,,,,
122,-117.55799999999999,,,,,,,,
123,-117.247,,,,,,,,
124,-116.93599999999999,,,,,,,,
125,-116.625,,,,,,,,
126,-116.314,,,,,,,,
127,-116.003,,,,,,,,
128,-115.692,,,,,,,,
129,-115.381,,,,,,,,
130,-115.07,,,,,,,,
131,-114.759,,,,,,,,
132,-114.448,,,,,,,,
133,-114.137,,,,,,,,
134,-113.826,,,,,,,,
135,-113.515,,,,,,,,
136,-113.204,,,,,,,,
137,-112.893,,,,,,,,
138,-112.582,,,,,,,,
139,-112.271,,,,,,,,
140,-111.96,,,,,,,,
141,-111.649,,,,,,,,
142,-111.338,,,,,,,,
143,-111.027,,,,,,,,
144,-110.716,,,,,,,,
145,-110.405,,,,,,,,
146,-110.094,,,,,,,,
147,-109.783,,,,,,,,
148,-109.472,,,,,,,,
149,-109.161,,,,,,,,
150,-108.85,,,,,,,,
151,-108.539,,,,,,,,
152,-108.228,,,,,,,,
153,-107.917,,,,,,,,
154,-107.606,,,,,,,,
155,-107.295,,,,,,,,
156,-106.984,,,,,,,,
157,-106.673,,,,,,,,
158,-106.362,,,,,,,,
159,-106.051,,,,,,,,
160,-105.74,,,,,,,,
161,-105.429,,,,,,,,
162,-105.118,,,,,,,,
163,-104.807,,,,,,,,
164,-104.496,,,,,,,,
165,-104.185,,,,,,,,
166,-103.874,,,,,,,,
167,-103.563,,,,,,,,
168,-103.252,,,,,,,,
169,-102.941,,,,,,,,
170,-102.63,,,,,,,,
171,-102.319,,,,,,,,
172,-102.008,,,,,,,,
173,-101.697,,,,,,,,
174,-101.386,,,,,,,,
175,-101.075,,,,,,,,
176,-100.764,,,,,,,,
177,-100.453,,,,,,,,
178,-100.142,,,,,,,,
179,-99.831,,,,,,,,
180,-99.52,,,,,,,,
181,-99.209,,,,,,,,
182,-98.898,,,,,,,,
183,-98.587,,,,,,,,
184,-98.276,,,,,,,,
185,-97.965,,,,,,,,
186,-97.654,,,,,,,,
187,-97.343,,,,,,,,
188,-97.032,,,,,,,,
189,-96.721,,,,,,,,
190,-96.41,,,,,,,,
191,-96.099,,,,,,,,
192,-95.788,,,,,,,,
193,-95.477,,,,,,,,
194,-95.166,,,,,,,,
195,-94.855,,,,,,,,
196,-94.544,,,,,,,,
197,-94.233,,,,,,,,
198,-93.922,,,,,,,,
199,-93.611,,,,,,,,
200,-93.3,,,,,,,,
201,-92.989,,,,,,,,
202,-92.678,,,,,,,,
203,-92.367,,,,,,,,
204,-92.056,,,,,,,,
205,-91.745,,,,,,,,
206,-91.434,,,,,,,,
207,-91.123,,,,,,,,
208,-90.812,,,,,,,,
209,-90.501,,,,,,,,
210,-90.19,,,,,,,,
211,-89.879,,,,,,,,
212,-89.568,,,,,,,,
213,-89.257,,,,,,,,
214,-88.946,,,,,,,,
215,-88.635,,,,,,,,
216,-88.324,,,,,,,,
217,-88.013,,,,,,,,
218,-87.702,,,,,,,,
219,-87.391,,,,,,,,
220,-87.08,,,,,,,,
221,-86.769,,,,,,,,
222,-86.458,,,,,,,,
223,-86.147,,,,,,,,
224,-85.836,,,,,,,,
225,-85.525,,,,,,,,
226,-85.214,,,,,,,,
227,-84.903,,,,,,,,
228,-84.592,,,,,,,,
229,-84.281,,,,,,,,
230,-83.97,,,,,,,,
231,-83.659,,,,,,,,
232,-83.348,,,,,,,,
233,-83.037,,,,,,,,
234,-82.726,,,,,,,,
235,-82.415,,,,,,,,
236,-82.104,,,,,,,,
237,-81.793,,,,,,,,
238,-81.482,,,,,,,,
239,-81.171,,,,,,,,
240,-80.86,,,,,,,,
241,-80.549,,,,,,,,
242,-80.238,,,,,,,,
243,-79.927,,,,,,,,
244,-79.616,,,,,,,,
245,-79.30499999999999,,,,,,,,
246,-78.994,,,,,,,,
247,-78.68299999999999,,,,,,,,
248,-78.372,,,,,,,,
249,-78.06099999999999,,,,,,,,
250,-77.75,,,,,,,,
251,-77.439,,,,,,,,
252,-77.128,,,,,,,,
253,-76.817,,,,,,,,
254,-76.506,,,,,,,,
255,-76.195,,,,,,,,
256,-75.884,,,,,,,,
257,-75.573,,,,,,,,
258,-75.262,,,,,,,,
259,-74.951,,,,,,,,
260,-74.64,,,,,,,,
261,-74.329,,,,,,,,
262,-74.018,,,,,,,,
263,-73.707,,,,,,,,
264,-73.396,,,,,,,,
265,-73.085,,,,,,,,
266,-72.774,,,,,,,,
267,-72.463,,,,,,,,
268,-72.152,,,,,,,,
269,-71.841,,,,,,,,
270,-71.53,,,,,,,,
271,-71.219,,,,,,,,
272,-70.908,,,,,,,,
273,-70.597,,,,,,,,
274,-70.286,,,,,,,,
275,-69.975,,,,,,,,
276,-69.664,,,,,,,,
277,-69.353,,,,,,,,
278,-69.042,,,,,,,,
279,-68.731,,,,,,,,
280,-68.42,,,,,,,,
281,-68.109,,,,,,,,
282,-67.798,,,,,,,,
283,-67.487,,,,,,,,
284,-67.176,,,,,,,,
285,-66.865,,,,,,,,
286,-66.554,,,,,,,,
287,-66.243,,,,,,,,
288,-65.932,,,,,,,,
289,-65.621,,,,,,,,
290,-65.31,,,,,,,,
291,-64.999,,,,,,,,
292,-64.688,,,,,,,,
293,-64.377,,,,,,,,
294,-64.066,,,,,,,,
295,-63.755,,,,,,,,
296,-63.444,,,,,,,,
297,-63.133,,,,,,,,
298,-62.822,,,,,,,,
299,-62.511,,,,,,,,
300,-62.2,,,,,,,,
301,-61.889,,,,,,,,
302,-61.578,,,,,,,,
303,-61.267,,,,,,,,
304,-60.956,,,,,,,,
305,-60.645,,,,,,,,
306,-60.334,,,,,,,,
307,-60.023,,,,,,,,
308,-59.712,,,,,,,,
309,-59.400999999999996,,,,,,,,
310,-59.089999999999996,,,,,,,,
311,-58.778999999999996,,,,,,,,
312,-58.467999999999996,,,,,,,,
313,-58.157,,,,,,,,
314,-57.846,,,,,,,,
315,-57.535,,,,,,,,
316,-57.224,,,,,,,,
317,-56.913,,,,,,,,
318,-56.602,,,,,,,,
319,-56.291,,,,,,,,
320,-55.98,,,,,,,,
321,-55.669,,,,,,,,
322,-55.358,,,,,,,,
323,-55.047,,,,,,,,
324,-54.736,,,,,,,,
325,-54.425,,,,,,,,
326,-54.114,,,,,,,,
327,-53.803,,,,,,,,
328,-53.492,,,,,,,,
329,-53.181,,,,,,,,
330,-52.87,,,,,,,,
331,-52.559,,,,,,,,
332,-52.248,,,,,,,,
333,-51.937,,,,,,,,
334,-51.626,,,,,,,,
335,-51.315,,,,,,,,
336,-51.004,,,,,,,,
337,-50.693,,,,,,,,
338,-50.382,,,,,,,,
339,-50.071,,,,,,,,
340,-49.76,,,,,,,,
341,-49.449,,,,,,,,
342,-49.138,,,,,,,,
343,-48.827,,,,,,,,
344,-48.516,,,,,,,,
345,-48.205,,,,,,,,
346,-47.894,,,,,,,,
347,-47.583,,,,,,,,
348,-47.272,,,,,,,,
349,-46.961,,,,,,,,
350,-46.65,,,,,,,,
351,-46.339,,,,,,,,
352,-46.028,,,,,,,,
353,-45.717,,,,,,,,
354,-45.406,,,,,,,,
355,-45.095,,,,,,,,
356,-44.784,,,,,,,,
357,-44.473,,,,,,,,
358,-44.162,,,,,,,,
359,-43.851,,,,,,,,
360,-43.54,,,,,,,,
361,-43.229,,,,,,,,
362,-42.918,,,,,,,,
363,-42.607,,,,,,,,
364,-42.296,,,,,,,,
365,-41.985,,,,,,,,
366,-41.674,,,,,,,,
367,-41.363,,,,,,,,
368,-41.052,,,,,,,,
369,-40.741,,,,,,,,
370,-40.43,,,,,,,,
371,-40.119,,,,,,,,
372,-39.808,,,,,,,,
373,-39.497,,,,,,,,
374,-39.186,,,,,,,,
375,-38.875,,,,,,,,
376,-38.564,,,,,,,,
377,-38.253,,,,,,,,
378,-37.942,,,,,,,,
379,-37.631,,,,,,,,
380,-37.32,,,,,,,,
381,-37.009,,,,,,,,
382,-36.698,,,,,,,,
383,-36.387,,,,,,,,
384,-36.076,,,,,,,,
385,-35.765,,,,,,,,
