,time[frames],multi_alignedByIntensity_intensity_mean,multi_alignedByIntensity_intensity_std,multi_alignedByIntensity_intensity_mean_normalized,multi_alignedByIntensity_intensity_std_normalized,multi_alignedByIntensity_distance_mean,multi_alignedByIntensity_distance_std,multi_alignedByIntensity_distance_mean_normalized,multi_alignedByIntensity_distance_std_normalized
0,-251.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-250.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-250.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-249.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-249.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-248.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-248.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-247.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-247.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-246.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-246.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-245.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-245.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-244.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-244.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-243.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-243.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-242.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-242.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-241.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-241.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-240.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-240.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-239.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-239.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-238.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-238.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-237.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
