, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,3244,126,0,797.60535,247.95761000000002,0,1.3174700000000001,1.7723,3.88219,9.5246,25.445120000000003,0.00914,0.0,0.0,0.0,35,17.6,4.08,0.0,20,20,10.06,3.5578199999999995,-10.06,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,-2.515,20,10.06,3.5578199999999995
1,3245,126,1,797.57452,247.97272,0,1.6989,1.8162900000000002,4.136819999999999,10.72788,30.818109999999997,0.00796,2.231688648761019,2.231688648761019,0.503,35,17.6,4.08,0.0,20,20,10.06,3.5578199999999995,-9.557,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,-2.012,20,10.06,3.5578199999999995
2,3246,126,2,797.4787,247.67683,0,1.7231599999999998,1.7549599999999999,3.79492,9.16372,24.05455,0.010709999999999999,20.021438273825236,20.216187573638564,1.006,35,17.6,4.08,0.0605372751804716,20,20,10.06,3.5578199999999995,-9.054,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,-1.5090000000000001,20,10.06,3.5578199999999995
3,3247,126,3,797.75403,248.01366000000002,0,1.8110400000000002,1.85875,4.29999,11.2696,32.51427,0.010620000000000001,10.328118521898027,28.27769384523636,1.509,35,17.6,4.08,0.02755158524091463,20,20,10.06,3.5578199999999995,-8.551,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,-1.0060000000000002,20,10.06,3.5578199999999995
4,3248,126,4,797.31738,247.91602999999998,0,1.73669,1.77666,3.88709,9.505289999999999,25.28547,0.00886,18.91216494991318,29.083039670312655,2.012,35,17.6,4.08,0.0567624955531401,20,20,10.06,3.5578199999999995,-8.048,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,-0.5030000000000001,20,10.06,3.5578199999999995
5,3249,126,5,797.59143,247.86382000000003,0,2.1141400000000004,1.7780900000000002,3.8658300000000003,9.33205,24.33176,0.007790000000000001,6.163127969018581,18.13363548450638,2.515,35,17.6,4.08,0.01337841335610698,20,20,10.06,3.5578199999999995,-7.545,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,0.0,20,10.06,3.5578199999999995
6,3250,126,6,797.5883200000001,247.76445,0,2.06239,1.74905,3.75326,8.95231,23.08234,0.01081,12.604102802758572,6.46221258742043,3.018,35,17.6,4.08,0.035296600748202026,20,20,10.06,3.5578199999999995,-7.042000000000001,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,0.5029999999999997,20,10.06,3.5578199999999995
7,3251,126,7,797.58209,248.01268,0,1.78888,1.7727400000000002,3.8774900000000003,9.470939999999999,25.09248,0.00648,3.8857457215439273,16.14003085514269,3.521,35,17.6,4.08,0.005628640666093849,20,20,10.06,3.5578199999999995,-6.539000000000001,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,1.0059999999999998,20,10.06,3.5578199999999995
8,3252,126,8,797.61432,247.88271,0,2.3359400000000003,1.82897,4.1123,10.3292,28.1733,0.00799,4.903288646664289,8.703928096267333,4.024,35,17.6,4.08,0.009091268154631705,20,20,10.06,3.5578199999999995,-6.0360000000000005,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,1.509,20,10.06,3.5578199999999995
9,3253,126,9,797.83673,247.92978,0,2.2866400000000002,1.7955599999999998,3.9818300000000004,9.89466,26.78915,0.00886,15.148098104791806,14.776859457440077,4.527,35,17.6,4.08,0.04395363903726434,20,20,10.06,3.5578199999999995,-5.533,20,10.06,3.5578199999999995,0.5,5,5,2.515,2.1141400000000004,2.012,20,10.06,3.5578199999999995
